mp-ids;Icohp_mean_avg;Icohp_mean_max;Icohp_mean_min;Icohp_mean_std;Icohp_sum_avg;Icohp_sum_max;Icohp_sum_min;Icohp_sum_std;bonding_perc_avg;bonding_perc_max;bonding_perc_min;bonding_perc_std;antibonding_perc_avg;antibonding_perc_min;antibonding_perc_max;antibonding_perc_std;Made_Loe;Made_Mull
mp-14088;-1.906666667;-0.42;-2.65;1.051232081;-7.036666667;-2.55;-15.91;6.274526985;0.82758;0.90997;0.78618;0.058258768;0.17242;0.09003;0.21382;0.058258768;-27.44;-31.68
mp-25305;-2.17375;-0.67;-3.94;1.089001119;-7.81875;-0.67;-19.72;5.874809438;0.95089625;0.99817;0.90789;0.042435674;0.04910375;0.00183;0.09211;0.042435674;-48.22;-70.99
mp-574599;-1.005;-0.28;-2.1;0.808450163;-2.11;-0.64;-4.21;1.538408268;0.802748333;0.90826;0.6381;0.092174755;0.197251667;0.09174;0.3619;0.092174755;-9.17;-9.83
mp-23018;-3.1825;-0.73;-5.01;1.818094813;-13.33;-0.73;-30.07;10.63513752;0.92805;0.99934;0.80508;0.078898125;0.07195;0.00066;0.19492;0.078898125;-100.82;-124.28
mp-15781;-0.737142857;-0.2;-1.9;0.7343941;-3.475714286;-0.89;-11.38;3.563204245;0.876701429;0.93961;0.77285;0.063964833;0.123298571;0.06039;0.22715;0.063964833;-11.03;-15.78
mp-8455;-0.626666667;-0.18;-1.52;0.631682058;-3.983333333;-1.41;-9.13;3.639242901;0.794193333;0.86656;0.75801;0.051170961;0.205806667;0.13344;0.24199;0.051170961;-6.08;-6.12
mp-9517;-2.533333333;-0.87;-3.64;1.197395321;-10.48333333;-0.87;-18.21;7.203634885;0.917516667;0.99836;0.78195;0.096451385;0.082483333;0.00164;0.21805;0.096451385;-63.24;-70.26
mp-9307;-0.91;-0.26;-1.96;0.744983221;-2.396666667;-0.26;-4.15;1.316443019;0.755945;0.83333;0.56213;0.091384249;0.244055;0.16667;0.43787;0.091384249;-56.17;-51.94
mp-23302;-0.29;-0.28;-0.31;0.014142136;-2.113333333;-1.86;-2.24;0.179133718;0.94718;0.97034;0.90086;0.032753186;0.05282;0.02966;0.09914;0.032753186;-3.15;-4.25
mp-754363;-1.874;-0.52;-3.92;1.658331692;-6.208;-0.52;-23.51;8.74593254;0.852682;0.96016;0.74545;0.091286773;0.147318;0.03984;0.25455;0.091286773;-59.01;-66.88
mp-23070;-0.362;-0.31;-0.39;0.029257478;-1.982;-1.54;-2.46;0.371181896;0.731692;0.8694;0.51351;0.13203713;0.268308;0.1306;0.48649;0.13203713;-33.52;-37.04
mp-568661;-2.46;-0.98;-3.94;1.48;-7.13;-0.98;-15.75;5.544785839;0.91145;0.99685;0.82667;0.083840042;0.08855;0.00315;0.17333;0.083840042;-7.94;-12.27
