mp-ids,Icohp_mean_avg,Icohp_mean_max,Icohp_mean_min,Icohp_mean_std,Icohp_sum_avg,Icohp_sum_max,Icohp_sum_min,Icohp_sum_std,bonding_perc_avg,bonding_perc_max,bonding_perc_min,bonding_perc_std,antibonding_perc_avg,antibonding_perc_min,antibonding_perc_max,antibonding_perc_std,Madelung_Mull,Madelung_Loew
mp-1000,-0.34,-0.12,-0.45,0.15556349186104046,-2.2733333333333334,-1.42,-2.7,0.6033977866125206,0.7803166666666667,0.78801,0.76493,0.010880016339857006,0.21968333333333334,0.21199,0.23507,0.010880016339857006,-17.68,-15.69
mp-1002124,-4.58,-4.58,-4.58,0.0,-18.31,-18.31,-18.31,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-17.62,-12.43
mp-1002164,-5.89,-5.89,-5.89,0.0,-23.57,-23.57,-23.57,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-12.86,-9.62
mp-10044,-5.87,-5.87,-5.87,0.0,-23.5,-23.5,-23.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-5.07,-6.48
mp-1008223,-0.83,-0.83,-0.83,0.0,-3.31,-3.31,-3.31,0.0,0.89078,0.89078,0.89078,0.0,0.10922,0.10922,0.10922,0.0,-18.85,-16.93
mp-1008506,-2.2399999999999998,-0.46,-3.7,1.3419388957773002,-5.01,-1.37,-11.1,4.33359742784983,0.8580733333333334,1.0,0.68158,0.13227235774046756,0.14192666666666667,0.0,0.31842,0.13227235774046753,-14.45,-12.47
mp-1008556,-4.975,-4.96,-4.99,0.015000000000000124,-14.927500000000002,-9.92,-19.96,4.97769713321331,0.999495,1.0,0.99899,0.0005049999999999777,0.000505,0.0,0.00101,0.000505,-28.8,-18.93
mp-1008559,-6.23,-6.23,-6.23,0.0,-24.93,-24.93,-24.93,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-15.24,-17.22
mp-10086,-1.6940000000000002,-0.41,-2.29,0.6875056363405322,-7.692,-1.62,-11.47,3.647379333165115,0.931332,0.99653,0.88732,0.053234786145902754,0.06866799999999999,0.00347,0.11268,0.053234786145902754,-22.09,-12.51
mp-1008680,-1.3,-1.03,-1.56,0.21648710508172692,-5.890000000000001,-5.25,-6.24,0.4532107677449864,0.9175166666666666,0.99838,0.76167,0.1102263768594231,0.08248333333333333,0.00162,0.23833,0.11022637685942306,-7.45,-7.01
mp-1008786,-0.59,-0.59,-0.59,0.0,-3.55,-3.55,-3.55,0.0,0.9863,0.9863,0.9863,0.0,0.0137,0.0137,0.0137,0.0,-16.9,-15.13
mp-1009009,-0.4166666666666667,-0.17,-0.54,0.17441967269268174,-3.2066666666666666,-1.0,-4.31,1.5603489638183146,0.94568,1.0,0.83704,0.07682008070810652,0.05432,0.0,0.16296,0.07682008070810652,-6.21,-5.9
mp-1009082,-2.39,-1.01,-3.77,1.3800000000000001,-7.172499999999999,-2.02,-15.09,4.97952495224193,0.989155,0.99736,0.98095,0.008205000000000018,0.010845,0.00264,0.01905,0.008205,-32.39,-27.52
mp-1009084,-2.48,-1.23,-3.73,1.25,-7.4399999999999995,-2.47,-14.91,4.658379546580549,0.9974875,0.99933,0.99598,0.0015259976245066956,0.0025125,0.00067,0.00402,0.0015259976245066702,-35.83,-30.44
