metadata.material_id,metadata.formula
mp-14037,NaTl2RhF6
mp-1243,Ga2O3
mp-989567,Cs2RbTlF6
mp-2918,YCuO2
mp-568619,SiC
mp-9657,LiAsO3
mp-189,SiRu
mp-2672,K2O2
mp-568032,Cd(InSe2)2
mp-10615,BaLiP
mp-11703,KSbS2
mp-861979,Ir2S3
mp-540584,K2PdO2
mp-5046,BeSO4
mp-697096,Na2H4Pt
mp-961675,ScNiP
mp-4627,CoAsS
mp-567666,Ba3BiN
mp-29266,CsS
mp-29342,Ca3PCl3
mp-9127,Ba(SbO3)2
mp-5427,Mg2P2O7
mp-34932,CaHN
mp-28075,K2Ti2O5
mp-29163,Ag2TeS3
mp-13541,Sr2Mg(BO3)2
mp-4236,BaZnO2
mp-998413,CsSeBr3
mp-288,PtS
mp-8300,Ba4As2O
mp-13949,Cd(GaTe2)2
mp-8039,AlF3
mp-28797,YHSe
mp-22450,Li2PbO3
mp-28873,CsBrO3
mp-5377,YTaO4
mp-567841,Be3P2
mp-22934,K2PtCl4
mp-6949,InF3
mp-996959,LiAuO2
mp-3098,AlCuO2
mp-8277,Sr(CdP)2
mp-561902,CsAg3S2
mp-28591,Na4HgP2
mp-4514,NaNbO3
mp-23214,CaCl2
mp-11123,CsYHgSe3
mp-9262,Cs2PtF6
mp-14017,K3Sb
mp-2576,Sr2Ge
mp-9881,KAuSe
mp-5840,LiScO2
mp-8658,CsNaSe
mp-9063,RbSe
mp-643101,Rb2H6Pt
mp-556405,LaCN2F
mp-21276,PbS
mp-11020,GaAgO2
mp-15684,K2CuAs
mp-20790,InPS4
mp-7467,RbCuO2
mp-862868,PbBr2
mp-1009819,SrO
mp-3519,ZrSO
mp-22261,InCuTe2
mp-8267,KPS3
mp-27255,Ga2TeS2
mp-36111,LiMgP
mp-8452,NaLiS
mp-865427,KSrCO3F
mp-13548,Cs2Pt
mp-15724,KNa2Sb
mp-7848,AlPO4
mp-9839,K2LiAlF6
mp-567652,Cs2LiYCl6
mp-29484,K4HgAs2
mp-997086,SrAgO2
mp-12016,Rb2SiS3
mp-13445,Rb2As2Pt
mp-7219,Na2ZrSe3
mp-3654,RbCaF3
mp-5986,BaTiO3
mp-7457,SnF2
mp-504729,Cs2PdF6
mp-23025,LaClO
mp-19765,In2HgTe4
mp-9107,NaZrCuS3
mp-7642,K2AgAs
mp-165,Si
mp-7251,Ba2YNbO6
mp-8257,Na2ZnS2
mp-23263,LaBr3
mp-642725,CaHClO
mp-7447,Rb2Se3
mp-1415,CaSe
mp-10985,RbCu3S2
mp-8697,ScBO3
mp-2072,KTe
mp-29398,Cs2HfI6
mp-9166,MgCN2
mp-9583,K2ZnF4
mp-755756,Y2TeO2
mp-12532,KAg2PS4
mp-2400,NaS
mp-2741,CaF2
mp-8979,TaInO4
mp-772290,LiAgO
mp-2691,CdSe
mp-3167,Hg2GeSe4
mp-927,CuP2
mp-8459,CdSO4
mp-1550,AlP
mp-545544,Ba2TaBiO6
mp-643243,Cs2H6Pt
mp-545359,KNa2CuO2
mp-27420,NaBiF6
mp-570324,Rb2TeBr6
mp-5012,Li2SiO3
mp-24341,CsBeH3
mp-9259,Ba2Mg(BO3)2
mp-1009894,ZrC
mp-23737,KMgH3
mp-27904,FeSbS
mp-2758,SrSe
mp-867219,Sr2GaGeN
mp-3074,KAgO
mp-6494,K2Ca(CO3)2
mp-14437,RbYO2
mp-13610,ZnPbF6
mp-23710,MgH2
mp-7910,Al2HgTe4
mp-11918,Ca(BeN)2
mp-27294,Ca3AsBr3
mp-862947,Ba2BiAu
mp-10167,Na3SbS4
mp-7622,KSO4
mp-989523,Rb2NaAsF6
mp-11739,KLaTe2
mp-12903,YAgTe2
mp-10481,RbAg3Te2
mp-573658,Cs3BAs2
mp-867169,Sr2SnHg
mp-28237,RbLiBr2
mp-2079,Rb2P3
mp-9775,NaSrAs
mp-8058,YAsO4
mp-4533,Na2SiO3
mp-8399,CsCdF3
mp-9672,K2NiP2
mp-4636,ScCuO2
mp-3104,BaZrN2
mp-961684,LiCaAs
mp-7639,Na2CuP
mp-571461,K4ZnAs2
mp-5621,NbCu3S4
mp-24007,Rb2HBrO
mp-9384,CsAu3S2
mp-23862,BaHI
mp-2201,PbSe
mp-24424,BaHBr
mp-2542,BeO
mp-5962,NaMgAs
mp-28084,Rb2PdBr6
mp-804,GaN
mp-13133,K2TiO3
mp-773137,KCaBi
mp-6686,K2NaInF6
mp-7774,Na2SbAu
mp-966800,InP
mp-27562,Na2Pd3O4
mp-23054,NaBiO3
mp-9321,Ba2HfS4
mp-28650,CsBr2F
mp-567290,LaN
mp-10776,K2Sn(AsS3)2
mp-22867,RbBr
mp-10919,Rb2PtC2
mp-9844,BaAl2B2O7
mp-13676,TlPO4
mp-9517,SrTiN2
mp-3359,Ba2SnO4
mp-760,FeSe2
mp-11719,K4ZnP2
mp-9755,HfGeO4
mp-9195,BaCuSeF
mp-1672,CaS
mp-10044,BAs
mp-1000,BaTe
mp-33588,Ca2NF
mp-5588,BaSiF6
mp-7907,Al2ZnSe4
mp-29364,Li5SbO5
mp-8147,K2As2Pd
mp-989562,Cs2LiTlF6
mp-626151,YHO2
mp-976280,LiBr
mp-3637,YOF
mp-557664,Cs2TlBiF6
mp-7297,Cs2SnF6
mp-573697,CsCl
mp-23097,K2Os(Cl2O)2
mp-23425,Cs2PbCl6
mp-3349,Sr3Ti2O7
mp-10322,BaHfN2
mp-21510,K2NaInAs2
mp-6613,Ba2YTaO6
mp-1960,Li2O
mp-3772,Cd(GaSe2)2
mp-27456,BaBr2
mp-560558,CsCdAuS2
mp-989579,Rb2LiTlCl6
mp-23137,Ba2YBiO6
mp-27830,Cs2SeCl6
mp-1020059,LiGe2N3
mp-23703,LiH
mp-3915,BaHgO2
mp-13275,NaSrP
mp-23299,RbCl
mp-9566,Sr(MgSb)2
mp-28554,Ca2AsI
mp-5475,NaTaN2
mp-7575,LiZnN
mp-5618,Mg2As2O7
mp-3762,VCu3S4
mp-23859,CaHCl
mp-22956,K2PdCl4
mp-6384,RbSO2F
mp-28110,Rb2PtI6
mp-28266,P2Pd
mp-7472,RbAuO2
mp-3524,LiPN2
mp-547792,KSbO3
mp-961660,TiFeSe
mp-998604,RbPbCl3
mp-569149,K2TeCl6
mp-10474,NaPF6
mp-23289,KCl
mp-643279,K2H6Pt
mp-10289,Ca(BC)2
mp-14115,LiRhO2
mp-14039,K2NaRhF6
mp-10550,SrMg2N2
mp-553281,Ba2LaNbO6
mp-8756,KLiSe
mp-568560,TlBr
mp-21374,Cd(InTe2)2
mp-545500,BaSbClO2
mp-27300,RbAuBr3
mp-8127,K2Mg(CO3)2
mp-755586,NaLaO2
mp-5048,LiGaTe2
mp-23550,KBrF4
mp-754826,CsScO2
mp-757,Li3As
mp-549697,RbGeIO6
mp-10226,NaYS2
mp-561586,CsLaS2
mp-626724,LaHO2
mp-8289,SnF3
mp-9794,Rb2GeSe3
mp-8891,K2Zr(BO3)2
mp-12558,LiMgAs
mp-23405,Cs2TeBr6
mp-36508,SnHgF6
mp-571166,CaBr2
mp-996944,Cs2TlInBr6
mp-8262,K2P3
mp-8405,Li3LaSb2
mp-23302,RbI
mp-980057,SrAlGeH
mp-27549,K2AgBi
mp-8931,Rb2SnAs2
mp-638729,Cs2ZrCl6
mp-549737,Ba2Ca(BO3)2
mp-34126,Cu4SnP10
mp-5038,CsGaS2
mp-9731,RbAuSe
mp-7896,Cs2O2
mp-406,CdTe
mp-5707,CsAsF4
mp-8881,AlAs
mp-22936,Ca2NCl
mp-552488,LaCuSeO
mp-8279,Ba(CdP)2
mp-540957,Cs2TeI6
mp-160,B
mp-4651,SrTiO3
mp-27827,Rb2TiCl6
mp-7936,LiNbS2
mp-38011,KHS
mp-3666,LiTaO3
mp-8176,RbTlO2
mp-22313,Na2PtO2
mp-10378,Cs3Sb
mp-13798,K2NaTlF6
mp-6930,SiO2
mp-558781,ScTaO4
mp-7469,NaCuO
mp-6983,NaAgO
mp-11022,ScAgO2
mp-867300,Rb2Hf2O5
mp-5213,CdSnP2
mp-7128,Cd(AsO3)2
mp-3980,LiSbF6
mp-9986,CsAuO
mp-10418,RbSbO2
mp-961657,YNiP
mp-4609,HfSiO4
mp-552663,LiScAs2O7
mp-8454,KF
mp-20832,Zn(InTe2)2
mp-504535,InHO2
mp-924130,TiNiSn
mp-9595,NbInO4
mp-9780,RbHfAgTe3
mp-12885,BaAl2Sb2O7
mp-6920,KNO3
mp-28295,CsIO3
mp-1018040,MgSe
mp-10408,K2CN2
mp-989545,Rb2NaSbCl6
mp-31212,K2MgF4
mp-5127,LiCuO
